Proveedor,Rama Especialización,No. de Registro,Fecha Registro Padrón,Dirección,Colonia,Código Postal,Entidad Federativa,Correo Electrónico,Telefono
ANA LIDIA VALDEZ VEJAR,Sistemas fotovoltaicos,1918SFV,2019-04-05,COMONFORT 247,SANTA MARIA TEQUEPEXPAN,45601,Jalisco,dali_fide@hotmail.com,3312570163
ANGEL BENJAMIN ROMO CASTAÑEDA,Sistemas fotovoltaicos,1917SFV,2021-08-06,RAMON CORONA 1026,VILLAS DE ZULA,47862,JALISCO,aromo@greenprojects.com.mx,3315853697
"ANGSTROM, S.A. DE C.V.",Sistemas fotovoltaicos,1963SFV,2022-02-25,PRIVADA DE BUGAMBILIAS NO. 7,LA TRINIDAD SANCTORUM,72730,Puebla,ferangstrom@gmail.com, 222 247 13 42
AR SUN ENERGY S.A. DE C.V.,"Cogeneración, Sistemas fotovoltaicos",1602PIA,2019-02-28,HEGEL # 122 INT 501,CHAPULTEPEC MORALES,11570,Ciudad de México,hoover.patino@arsunenergy.com,6364-2658
ARQUITLAN  S DE R L,Sistemas fotovoltaicos,1885SFV,2020-11-29,AV.25 EXT. 2 MANZANA 39 LOTE 5,PARAÍSO DEL CARMEN,77710,Quintana Roo,jfuentes@inviertesolar.com,9847452577
ASOCIACION COMERCIAL DE INGENIERIA Y SERVICIOS SA DE CV,Sistemas fotovoltaicos,1818SFV,2023-05-26,HACIENDA JOFRE 403,JARDINES DE LA HACIENDA,76180,Querétaro,sustentabilidad@acissa.com,5529196053
ASOCIACION HERZ MEXICO SC,Sistemas fotovoltaicos,2008SFV,2022-11-11,BLVD  ALFONSO ZARAGOZA MAYTORENA 1780,DESARROLLO URBANO 3 RIOS,80020,Sinaloa,"jonathan@ahm.com.mx, hola@avenergie.mx",6677508512
"AUROVIRTUAL, S.A. DE C.V.",Sistemas fotovoltaicos,2021SFV,2023-04-14,CIRCUITO MEDICOS 30 INT 1,CIUDAD SATELITE,53100,Estado de México,eleyra@energeka.com,44380013
AZTECA LIGHTING SA DE CV,Sistemas fotovoltaicos,1961SFV,2019-07-31,SIERRA INDIA,LOMAS DE MAZATLAN,82110,Sinaloa,alonsopuerto@aztecalighting.com,6691800778
BAWOR SA DE CV,Sistemas fotovoltaicos,2101SFV,2021-02-05,AV CERRO GORDO #518 INT 4,VILLAS DEL CAMPESTRE,37129,Guanajuato,gerencia@vitaenergy.mx,4775553254
BCI SOLUCIONES EN RIEGO SA DE CV,Sistemas fotovoltaicos,1889SFV,2018-12-21,MARIANO ESCOBEDO 991,LAS VEGAS,80090,Sinaloa,proyectos@bciriegos.com,6671579509
BIION POWER S.A. DE C.V.,Sistemas fotovoltaicos,1642SFV,2022-12-02,GARCIA LEON 1687 PISO 1,CHAPULTEPEC ORIENTE,58260,Michoacán,ohernandez@biion.com.mx,4432749910
BIOENERGY DE DURANGO S DE RL DE CV,Sistemas fotovoltaicos,1823SFV,2020-10-29,BLVD. DOMINGO ARRIETA 105,OTRA NO ESPECIFICADA EN EL CATALOGO,34180,Durango,bioenergydurango@gmail.com,6188112777
BIOPANELS DE OCCIDENTE SA DE CV ,Sistemas fotovoltaicos,2210SFV,2022-05-17,ANATOLE FRANCE 268,JARDINES VALLARTA ,45027,Jalisco,direccion@biopanels.com.mx,33313230022
"BUREL, S.A. DE C.V.",Sistemas fotovoltaicos,1731SFV,2019-07-31,FELIPE RUVALCABA NO. 5507,PASEOS DEL SOL 1RA SECCIÓN,45079,Jalisco,jorge@energialibre.mx,01 33 3898 3811
BYCOSIN SA DE CV,Sistemas fotovoltaicos,1983SFV,2019-11-20,RETORNO LUCAS ORTIZ BENITEZ 75,LAS CAMELINAS,58290,Michoacán,oestrada@bycosin.com.mx,4433240739
CALENTADORES SOLARES DE MEXICO S.A. DE C.V.,Sistemas fotovoltaicos,1710SFV,2019-03-25,AGUA MARINA  No. 3032,AGUA BLANCA SUR,45235,Jalisco,"ivantamez@solartechnology.com.mx,proyectos@solartechnology.com.mx, admonultrasol@gmail.com,",01 33 3612 3944
CALIDAD TOTAL EN ILUMINACION SA DE CV,Sistemas fotovoltaicos,1895SFV,2021-04-16,AV.DIAZ ORDAZ 108,ACAPATZINGO,62440,Morelos,am@catilsa.com.mx,7771192702
CARLOS ALFONSO DURAN ALCOCER,Sistemas fotovoltaicos,1909SFV,2019-02-07,PRESIDENTE CARDENAS 1375,SALTILLO CENTRO,25000,Coahuila,carlosduran714@gmail.com,8444121085
CARLOS JAZIEL ESLAVA RODRIGUEZ,Sistemas fotovoltaicos,2136SFV,2021-10-13,CIRCUITO ANTILLAS 148,BARLOVENTO,20286,Aguascalientes,proyectos@cesrenovables.com,4499712127
CARLOS ROMAN ROJAS SIMON,Sistemas fotovoltaicos,1803SFV,2021-04-26,CIENEGUITA 1001,LA CIENEGUITA,68127,Oaxaca,carlos._rojas_r.s@hotmail.com,01 951 524 3338
CAZANDO EL SOL S.A. DE C.V.,Sistemas fotovoltaicos,1814SFV,2020-10-29,CHACAHUA NO. 15 INT. ALTOS,FRACC SANTA ELENA,71230,OAXACA,cazandoelsol@yahoo.com.mx,01 951 533 5098
CENTRO ESPECIALIZADO DE TECNOLOGIA APLICADA SA DE CV,Sistemas fotovoltaicos,2303SFV,2023-04-14,BOULEVARD DEL SOL   46,VALLE DEL SOL,72565,Puebla,bcordero@essancia.com,2228923788
CEOSA SA DE SV,Sistemas fotovoltaicos,1976SFV,2019-10-24,PONIENTE 2 #36,CENTRO,94300,Veracruz,jessik111287@gmail.com,2727225802
CESAR ISMAEL LOPEZ TORRES,Sistemas fotovoltaicos,2126SFV,2021-08-20,RIO ELOTA 415 INT. A,GUADALUOE,80220,Sinaloa,cesar.lopez@sesolar.xyz,6671565928
CHRISTIAN JOSUE CASTILLO SANDOVAL,Sistemas fotovoltaicos,1866SFV,2022-09-23,FELIPE CARRILLO PUERTO 92,PUEBLO NUEVO,86500,Tabasco,ecoenergymx007@gmail.com,9371187456
CLIMAS Y REFACCIONES DEL PUERTO SA DE CV,"Aire acondicionado, Sistemas fotovoltaicos",1902PIA,2019-02-07,AGUA DULCE 210,F FLORIDA,89110,Tamaulipas,contacto@climasyrefaccionesdel puerto.com,01-833-227-5000
"COMA GONZALEZ GUERRA, S.A. DE C.V.",Sistemas fotovoltaicos,2129SFV,2021-09-10,BLOCK A LOCAL 25,CENTRAL DE ABASTOS,20280,Aguascalientes,"jm@gonzalezguerra.com.mx, fotovoltaicos@gonzalezguerra.com.mx, alejandro.garay@gmail.com",4492940688
"COMERCIALIZADORA ECOHEAT, SA DE CV ",Sistemas fotovoltaicos,1914SFV,2021-08-20,AV. SAN MIGUEL NO.283 INT. 82,SAN JUAN DE OCOTAN,45019,JALISCO,sergio@grupoeh.mx,3313689872
COMERCIALIZADORA GENERAL SOLAR SA DE CV,Sistemas fotovoltaicos,2226SFV,2022-09-23,AV ATLACOMULCO 136,POBLADO ACAPATZINGO,62440,Morelos,generalsolar@modulosolar.com.mx,7773128017
"COMERCIALIZADORA LEASOL, S.A. DE C.V.",Sistemas fotovoltaicos,1839SFV,2022-09-23,BLVD. MIGUEL DE LA MADRID HURTADO NO. 11819  L2,BARRIO NUEVO SALAHUA,28869,COLIMA,"tere@leasol.mx,  lsevilla@solarbay.com.mx, rzamora@solarbay.com.mx",(314) 333-2196
COMERCIALIZADORA OLDJAC SA DE CV,Sistemas fotovoltaicos,1902SFV,2021-10-13,VICENTE LOMBARDO TOLEDANO 2495 INT.41,SAN LORENZO TEPALTITLAN,50010,Estado de México,"contacto@etesla.mx, dalien.ortiz@etesla.mx","2296884430,7222371599"
COMERCIALIZADORA SUNAIR S  DE R L DE C V,Sistemas fotovoltaicos,18105SFV,2018-12-21,SAN VICENTE MZN 10 LTE 31 ENTRE CHAPULTEPEC Y EL SAUZAL,VILLAS LA JOYA,23474,Baja California Sur,"hector@solair.com.mx,cecilia@solair.com.mx",01 624 146 3524
COMPAÑIA ALBORADA DE AMERICA S. DE R.L. DE C.V.,Sistemas fotovoltaicos,1519SFV,2019-02-28,AVENIDA HACIENDAS EL ROSARIO NO.103 INT.301,HACIENDAS EL ROSARIO,37125,GUANAJUATO,"contacto@kiin.com.mx, emoreno@kiin.com.mx ",01 477 758 4277
CONCRETOS LOS LAURELES S DE RL DE CV,Sistemas fotovoltaicos,1852SFV,2022-12-02,LOS LAURELES S/N,SAN FRANCISCO DE ASIS,47755,Jalisco,antoniodeloerapatron@outlook.com,3336417413
CONDUMEX S.A. DE C.V.,Sistemas fotovoltaicos,1503SFV,2022-11-11,AV. PONIENTE 140 N.720 ,INDUSTRIAL VALLEJO,2300,Distrito Federal,dvalenzuela@condumex.com.mx,(55) 53289905
"CONEXION 4, S. DE R.L. DE C.V.",Sistemas fotovoltaicos,2016SFV,2023-02-03,AVE. AGUASCALIENTES PONIENTE NO. 301,PANORAMA,20040,Aguascalientes,"luviano.carlos@solarcorp.com.mx,astrid_fp@outlook.com",4491466555
"CONSTRUCCIONES HIDRAULICAS ELECTRICAS Y CIVILES, S.A. DE C.V.",Sistemas fotovoltaicos,1625SFV,2018-12-21,Calle 70 No. 452,Centro,97000,Yucatán,zurdoihe@prodigy.net.mx,01 999 923 6319
CONSTRUCCIONES MILENIUM S.A. DE C.V.,Sistemas fotovoltaicos,1718SFV,2021-10-13,REEMBOLSOS  70,POSTAL,3410,CIUDAD DE MÉXICO,c.milenium@hotmail.com,5571564985
CONSTRUCTORA ELECTRICA IA SA de CV,Sistemas fotovoltaicos,1896SFV,2018-12-21,JUAN DE LA CABADA 750 A,MORELOS,28030,Colima,CMICHEL@GRUPOELECON.COM,3123125040
CONSULTORA Y PROVEEDORA ENC SA DE CV,Sistemas fotovoltaicos,1904SFV,2021-06-03,SOLIDARIDAD 545,PUENTES DEL MEZQUITAL ,83240,SONORA,direccion@energiaenc.com,662 312 02 92 
CORDOBA INDUSTRIAL INTEGRADORES SA DE CV,Sistemas fotovoltaicos,1880SFV,2023-07-13,CALLE 25A-115,LINDAVISTA,31600,Chihuahua,mrcordova@cordovaindustrial.com,6255810918
CORPORACION ACAT SA DE CV,Sistemas fotovoltaicos,2229SFV,2022-09-23,CARRETERA ESTATAL GUADALUPE CIUDAD CUAUHTEMOC KM 1.8 103,COMPLEJO DE NAVES INDUSTRIALES LA ZACATECANA,98600,Zacatecas,corporacionacat@hotmail.com,4924913037
CORPORACION PRODECO S.A. DE C.V.,Sistemas fotovoltaicos,1935SFV,2019-05-07,BOULEVAR MIGUEL ALEMAN OTE NO.154,LAS ROSAS,35090,Durango,jmguevara@prodeco.com.mx,871-7472800
CORTEZ ENERGY SA DE CV ,Sistemas fotovoltaicos,2110SFV,2021-04-26,BLVD JOSE MARIA MORELOS No. G 307,LOMA LINDA ,83150,Sonora,carla@sahuaroenergy.com,662 3351 631
CREATECH ENERGIAS S. DE R.L. DE C.V.,Sistemas fotovoltaicos,1913SFV,2019-02-28,LAGO DE TEXCOCO 3074,LOMAS DEL BOULEVARD,80110,Sinaloa,cuzeta@ctenergias.com.mx,6441796150
DAVID REAL CORNEJO,Sistemas fotovoltaicos,1541SFV,2023-03-01,GABRIEL CRUZ DIAZ NI. 20 INT. D,BALCONES DE COSTA AZUL,39840,Guerrero,proyins_acapulco@hotmail.com,7442250308
"DESARROLLO DE ENERGIA MODERNA, S.A DE C.V ",Sistemas fotovoltaicos,1847SFV,2022-06-08,"AV. ESTADO DE PUEBLA # 1, LOCAL 1",LAZARO CARDENAS,62080,Morelos,grupoeracuernavaca@gmail.com,7773611185
DESMEX DE MEXICO SA DE CV,Sistemas fotovoltaicos,1942SFV,2022-07-29,JOSE CLEMENTE OROZCO 10093,ZONA URBANA RIO TIJUANA,22010,Baja California,viridiana.barajas@desmex.com,4777880600
DINAMICA ELECTRO INDUSTRIAL MM SA DE CV,Sistemas fotovoltaicos,1926SFV,2021-07-02,AVENIDA INSURGENTES NORTE EXTERIOR 1742 INTERIOR 202,LINDAVISTA NORTE,7300,Distrito Federal,marianamelo.dinamica@gmail.com,7444683987
DISEÑOS Y APLICACIONES SUSTENTABLES KINIK S.A. DE C.V.,Sistemas fotovoltaicos,18104SFV,2018-12-21,20 DE NOVIEMBRE  No. 133 ALTOS,JOSE CARDEL,91030,Veracruz,kiniksa1@gmail.com,01 228 200 7569
DISTRIBUIDORA DE CABLES DEL NOROESTE S.A. DE C.V. ,Sistemas fotovoltaicos,2119SFV,2021-07-02,AGUA FRIA NO. 30,SANTA FE ,83249,Sonora,juan.reyna@tecnergy.mx,662 216 1098
"DISTRIBUIDORA DE ELECTRONICA DEL SURESTE, S.A. DE C.V.",Sistemas fotovoltaicos,2301SFV,2023-02-03,62 NO. 596 X 73 Y 75,CENTRO,97000,YUCATÁN,eduardodiazlopez9@gmail.com,9991765902
DRFC INGENIERIA SA DE CV,Sistemas fotovoltaicos,1897SFV,2018-12-21,CAMINO A OCOTEPEC S/N,OCOTEPEC,62220,Morelos,ramiro.abarca@drfc.com.mx,7774166135
EB SOLUCIONES ENERGETICAS SA DE CV,Sistemas fotovoltaicos,1924SFV,2019-04-05,CALZADA PORFIRIO DIAZ 226 INT. B,REFORMA,68050,Oaxaca,marcelarojo.gpoalt@gmail.com,( 951 ) 132 50 30
ECO ENERGIA SLM SA DE CV,Sistemas fotovoltaicos,1951SFV,2021-07-02,HORACIO NELSON  NO. 14,COSTA AZUL ,39850,GUERRERO,contactosolarmex@gmail.com,74441882581
ECO HAUS S DE RL DE CV,Sistemas fotovoltaicos,1881SFV,2020-11-12,BOULEVARD LAZARO CARDENAS 6900 INTERIOR 2,LA MESA,22450,Baja California,ricardo.juncal@ecohaus.com.mx,6646084588
"ECO-ENERGIA GLOBAL VYR, S. DE R.L. DE C.V.",Sistemas fotovoltaicos,1821SFV,2022-09-06,AV. UNIVERSIDAD  NO. 3320,MAGISTERIAL UNIVERSIDAD,31200,Chihuahua,"arodriguez@eco-energia.mx, ",6144142488
ECOK IIN S.A. DE C.V.,Sistemas fotovoltaicos,1545SFV,2021-07-16,Av. JOSE LOPEZ PORTILLO No. 103 int. 6,San Antonio,24090,Campeche,"jfajardo@ecocentro.mx, jcuevas@ecocentro.mx",01 999 944 4687
"ECOLLET DEL NOROESTE, S.A. DE C.V.",Sistemas fotovoltaicos,2022SFV,2020-11-20,BLVD JOSE MARIA ESCRIBA NO.194,PASEO DE PALMAS,83105,Sonora,"jaime.grijalva@proner.mx,alam.vizcarra@proner.mx",662 3103023
ECOPULSE S.A. DE C.V.,Sistemas fotovoltaicos,1526SFV,2021-08-06,56 No. 551 INT. 2,Nucleo Dzodzil,97300,Yucatán,gferraez@ecopulse.mx,01 999 688 2513
ECUBO SOLAR SA DE CV,Sistemas fotovoltaicos,1930SFV,2019-04-15,RETORNO 17 No 29,AVANTE,4460,Distrito Federal,daniel@ecubo.mx,4772518368
EFICIENCIA ENERGETICA EN SISTEMAS ELECTRICOS S. DE R.L. DE C.V.,Sistemas fotovoltaicos,1643SFV,2021-11-26,Calle Titanio No. 7,Ciudad Industrial,63173,Nayarit,ese@hotmail.com,311 211 5353
ELECTRIBA S.A. DE C.V.,"Sistemas fotovoltaicos, Subestaciones eléctricas",1603PIA,2021-08-20,AV. LAS AMERICAS No. 700,LAZARO CARDENAS,48330,Jalisco,"electriba@hotmail.com, eunicegomezss20@gmail.com",329 296 6008
ELECTRICA MILEC S.A. DE C.V.,"Sistemas fotovoltaicos, Sistemas fotovoltaicos",1806PIA,2022-06-30,MONTEMAYOR No. 888,MELCHOR OCAMPO,32380,Chihuahua,"emilanm@milec.com.mx, emilang@milec.com.mx",16566182828
ELECTRO MAYOREO DE SINALOA SA DE CV,Sistemas fotovoltaicos,1962SFV,2019-07-31,BLVD FRANCISCO I MADERO 1649,MIGUEL HIDALGO,80090,Sinaloa,ahorro@electrisa.com.mx,6677156062
ELECTRODIESEL DE LOS MOCHIS SA DE CV,Sistemas fotovoltaicos,1916SFV,2019-03-25,ALFONSO CANO PTE 339,CENTRO,81200,Sinaloa,bernardoloose@hotmail.com,16688120077
ELI PALMA SOTO,Sistemas fotovoltaicos,2220SFV,2022-09-06,NUEVO MEXICO 8508,CAMPESTRE ARBOLADA,32409,CHIHUAHUA,eli.palma.uacj@gmail.com,6561689583
ELKON SA DE CV,Sistemas fotovoltaicos,2131SFV,2021-09-24,AVENIDA 19 NO. 264,FERNANDO GUTIRREZ BARRIOS,94297,Veracruz,gustavo.cadena@elkon.com.mx,2299351775
ENERCLIMA S DE RL DE CV,Sistemas fotovoltaicos,1984SFV,2019-11-20,BAHIA DE SANTA BARBARA 119,VERONICA ANZURES,11300,Distrito Federal,aidana.velazquez@enlight.mx,5544417466
ENERCONSULTORES S.A. DE C.V.,Sistemas fotovoltaicos,2103SFV,2021-03-29,SONORA 436,DR. NORBERTO TREVIÑO ZAPATA,87020,Tamaulipas,icarlos74@hotmail.com,834-315-4215
ENERFIX SA DE CV ,Sistemas fotovoltaicos,2217SFV,2022-07-29,AV AMERICAS  528 P. ALTA,LADRON DE GUEVARA,44600,Jalisco,jrjarero@enerfix.com,3316059758
ENERGEIA POR EL PLANETA SA DE CV,Sistemas fotovoltaicos,1925SFV,2021-08-20,FRAY ANTONIO DE MARCHENA 252,QUINTAS DEL MARQUES,76047,Querétaro,victor.linaldi@solart.mx,5559197658
ENERGIA PUEBLO SOLAR S.A. DE C.V.,Sistemas fotovoltaicos,1609SFV,2022-04-22,BLVD. PASEO RIO SONORA NORTE NO. 76 INT 303-B,PROYECTO  RIO SONORA,83270,Sonora,administracion@pueblosolar.mx,01 662 212 1523
ENERGIA RENOVABLE DE MICHOACAN  S.A. DE C.V. ,Sistemas fotovoltaicos,1527SFV,2023-08-01,CALLE MATIAS DE BOCANEGRA No. 42,EL MIRADOR DEL PUNHUATO,58249,Michoacán,"a.ruiz@energiadeamerica.mx, Jessicajacobo@hotmail.com, mleal@energiadeamerica.mx, maguuru@gmail.com, mzavala@energiadeamerica.mx, g.lopez@energiadeamerica.mx","01 443 323 1643, cel. 443 200 9794"
"ENERGIA RENOVABLE DEL CENTRO, S. DE R.L. DE C.V.",Sistemas fotovoltaicos,1622SFV,2023-06-13,CARRETERA ESTATAL 420 KM. 5.6,EL ROSARIO,76240,Querétaro,godofredo@solaresenergia.com,442 102 7048
ENERGIA SOLAR Y DESARROLLOS ECOLOGICOS  S.A. DE C.V.,Sistemas fotovoltaicos,2109SFV,2021-04-26,FERNANDO MAGALLANES NUMERO 128,FRACCIONAMIENTO COSTA AZUL,39850,Guerrero,ingenieria@solucionesecosolares.com,7444862020
ENERGIA SOLARE DE OCCIDENTE S DE RL DE CV,Sistemas fotovoltaicos,2114SFV,2021-06-03,AV. AMERICAS 1600 INT 4-A,COUNTRY CLUB,44610,Jalisco,jnaranjo@globalsolare.com,3340402127
ENERGIA SONORA PPE SC ,Sistemas fotovoltaicos,2010SFV,2020-06-26,LAS VILLAS  # 70,LAS VILLAS,85440,Sonora,ajl_ajl79@hotmail.com,622 118 44 25
"ENERGIA VERDE ALTERNATIVA, S.A.P.I. DE C.V.",Sistemas fotovoltaicos,1741SFV,2021-07-16,CERRADA 3A DE LAGO SILVERIO NO. 30,ANÁHUAC II,11320,Ciudad de México,aturok@evamexico.com,55 5203 8546
ENERGIAS SOLARES MEXICANAS SA DE CV,Sistemas fotovoltaicos,2215SFV,2022-06-30,HORACIO NELSON NUMERO 14,COSTA AZUL,39850,Guerrero,contactosolarmex@gmail.com,7441882581
ENERGIE CONSULTORES SA DE CV,Sistemas fotovoltaicos,2203SFV,2022-01-17,AYUNTAMIENTO 15 INT B 8,CENTRO,91000,Veracruz,JERNZ.JER@GMAIL.COM,2288264030
ENGSE GROUP S DE RL DE CV ,Sistemas fotovoltaicos,1740SFV,2021-09-24,JESUS REYES HEROLES 2808,VILLA VICENTE GUERRERO,44987,Jalisco,averduzco@kds.mx,3326411793
ENRIQUE VALENZUELA CABALLERO,Sistemas fotovoltaicos,1612SFV,2020-11-29,AVENIDA ZAPATA 380,BUROCRATA,83634,Sonora,isoltec.enrique@hotmail.com,01 637 372 1337
ERASOLAR DE AGUASCALIENTES SA DE CV,Sistemas fotovoltaicos,1850SFV,2020-12-08,JUAN RAMIREZ ,UNIDAD GANADERA,20130,Aguascalientes,foctaviosr@hotmail.com,4493679794
ERGOSOLAR MEXICO S.A. DE C.V.,Sistemas fotovoltaicos,1565SFV,2022-01-17,BLVD. MANUEL CABAÑAS PAVIA NO. 9-A,FRACC. AEROPARQUE,74160,Puebla,"direccion@ergosolar.mx, maricela.ramos@ergosolar.mx",01 227 271 5105
ERGYVISION S.A. DE C.V.,Sistemas fotovoltaicos,2125SFV,2021-08-06,CALLE 3 MZ D LT 42,SAN JUAN XALPA,9850,CIUDAD DE MÉXICO,jorgezaldivar@ergy.com.mx,9616912275
ESPERANZA GAZGA SALINAS,"Sistemas fotovoltaicos, Subestaciones eléctricas",2001PIA,2022-03-11,MICHOACAN 171 DEP. 2,PROGRESO,39350,GUERRERO,"laesperanza.gs@hotmail.com, isermexico@hotmail.com","7441175878, 6381097438, 6381860916"
"ETTCOM, S.A. DE C.V.",Sistemas fotovoltaicos,1938SFV,2022-02-25,AV NICOLAS GOGOL,COMPLEJO INDUSTRIAL CHIHUAHUA,31109,CHIHUAHUA,etorres@ettcom.net,6144188611
EVER REY MORIEL,Sistemas fotovoltaicos,1898SFV,2022-12-02,BLVD. ORTIZ MENA No. Ext. 118 Int. A,SAN FELIPE,31203,Chihuahua,"isi.solar@hotmail.com, proyectos.isi.solar@hotmail.com",614 511 3146
FDG AUTOMATION SA DE CV,Sistemas fotovoltaicos,1981SFV,2019-11-20,5A,LA CONCORDIA,53126,Estado de México,EDUARDO.DAPIC@FDGAUTOMATION.COM,556380 8002
FELIX JAFETH  ROCHA BAUTISTA,Sistemas fotovoltaicos,2302SFV,2023-03-01,LIBERTAD 1010,LAS BRISAS,89860,Tamaulipas,insamante2020@gmail.com,8311554563
FERNANDO CANO RUEDA,Sistemas fotovoltaicos,1846SFV,2023-04-14,Av. Adolfo Lopez Mateos 107,Guadalupe Victoria,22426,Baja California,ingfcano@gmail.com,01 664 623 9493
FERNANDO CHAVEZ MARANTO,Sistemas fotovoltaicos,1732SFV,2021-06-03,VALLE DE GUAYANGAREO  438,VALLE QUIETO,58069,Michoacán,fdochavez49@hotmail.com,4432740397
FERNANDO PEREZ ESPINOZA ,Sistemas fotovoltaicos,2304SFV,2023-04-14,AV MUÑOZ 384,JARDINES DE LA RIVERA,78250,San Luis Potosí,mauriciopem@outlook.com,4448400131
FINGER PRINT ARTIFEX S.A. DE C.V.,Sistemas fotovoltaicos,1713SFV,2021-06-18,CALLE JOSE CUETO NO. 942,LOS ÁNGELES AMPLIACIÓN,27148,COAHUILA,contacto@boltenergy.com.mx,01 871 713 4262
FLOTSSER CONSTRUCCIONES S.A. DE C.V.,"Aire acondicionado, Refrigeración, Sistemas fotovoltaicos, Subestaciones eléctricas",1802PIA,2020-07-21,SIERRA CAMPANERO No. 118,SOLIDARIDAD,83116,Sonora,"flotsser_@hotmail.com, flotsser.villanueva@gmail.com, ",01 662 118 7370
FRANCISCO ARCE ZUMARRAGA,Sistemas fotovoltaicos,1915SFV,2021-09-24,CALLE 13 NO. 305,FRACCIONAMIENTO COSTA VERDE,94294,VERACRUZ,farce@viveco.com.mx,22 9929 4174
FRANCISCO ERASMO FRANCO CHAVEZ,Sistemas fotovoltaicos,1615SFV,2021-07-16,ABOLICION DE LA ESCLAVITUD 9900 INTERIOR 3 Y 4,IGNACIO ALLENDE,31124,CHIHUAHUA,francisco.franco@astrum.org.mx,614 425 0202
FRANCISCO JAVIER BARBA OROZCO,Sistemas fotovoltaicos,1931SFV,2019-04-15,GUAYAQUIL 2424,PROVIDENCIA,44630,Jalisco,hto_razo@hotmail.com,3338547700
"FRESADO CNC Y ELECTRONICA, S.A. DE C.V.",Sistemas fotovoltaicos,1730SFV,2021-10-13,PRIVADA SUDAN  6219 - 3,AMPLIACION AEROPUERTO,32690,CHIHUAHUA,"administracion@servitronica.com.mx, enrique.aragon@servitronica.com.mx,nohemimeraz@solarpanel.com.mx",01 656 648 4474
